Transaction Number,Date,Description ,Memo,Category,Transaction Amount,Balance,Temp 1
32026,12/23/2017,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$335,606.20",Recurring
32032,12/24/2017,DEBIT PURCHASE,"Paul McCartney, Private Show",Entertainment,"-$25,006.35","$310,599.85",Occaisional
32029,12/24/2017,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$301,940.37",Recurring
32028,12/24/2017,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$299,433.38",Recurring
32031,12/25/2017,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$297,128.17",Recurring
32030,12/25/2017,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$16,350.32","$280,777.85",Recurring
32033,12/26/2017,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$278,211.48",Recurring
32037,01/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$103,015.35","$175,196.13",Recurring
32042,01/02/2018,DEBIT PURCHASE,Twin Stars,Food & Dining,"-$6,369.36","$168,826.77",Occaisional
32038,01/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$11,157.87","$157,668.90",Recurring
32041,01/03/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,552.26","$155,116.64",Recurring
32062,01/04/2018,DEBIT PURCHASE,The Airplane Restaurant,Food & Dining,-$367.65,"$154,748.99",Occaisional
32043,01/04/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$25,362.87","$129,386.12",Recurring
32045,01/05/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,241.12","$127,145.00",Recurring
32044,01/05/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$64,589.24","$62,555.76",Recurring
101535,01/05/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$15,704.99","$78,260.75",Recurring
32067,01/06/2018,DEBIT PURCHASE,"Eagles , Private Show",Entertainment,"-$25,006.35","$53,254.40",Occaisional
32046,01/06/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$5,231.65","$48,022.75",Recurring
32048,01/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$46,670.73",Recurring
32047,01/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$36,345.10",Recurring
101573,01/07/2018,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$106,345.10",Recurring
5101,01/08/2018,BALANCE TRANSER ,Emergency Account,Transfer,"$25,000.00","$131,345.10",Occaisional
32049,01/09/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$120,844.58",Recurring
32050,01/12/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$8,062.88","$112,781.70",Recurring
32052,01/13/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$112,778.45",Occaisional
32054,01/14/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$106,278.45",Recurring
32055,01/15/2018,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$76,252.10",Recurring
101555,01/15/2018,DIRECT DEPOSIT,Trust Fund Stock,Dividends,"$676,412.01","$752,664.11",Recurring
32056,01/16/2018,DEBIT PURCHASE,Tango Lessons,Entertainment,"-$1,235.46","$751,428.65",Occaisional
101601,01/16/2018,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$801,428.65",Recurring
32070,01/17/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$801,026.15",Occaisional
32059,01/21/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$800,127.83",Recurring
32058,01/21/2018,DEBIT PURCHASE,Regular Human Clothes,Clothing & Personal ,"-$1,112.52","$799,015.31",Occaisional
32060,01/22/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$786,649.36",Recurring
32061,01/23/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$781,288.04",Recurring
32064,01/24/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$772,628.56",Recurring
32063,01/24/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$770,121.57",Recurring
32051,01/24/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$769,718.57",Occaisional
32066,01/25/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$767,413.36",Recurring
32065,01/25/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$14,030.25","$753,383.11",Recurring
32069,01/26/2018,DEBIT PURCHASE,Champagn Spa ,Health & Fitness,"-$6,398.58","$746,984.53",Occaisional
32068,01/26/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$744,418.16",Recurring
32053,01/27/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-$128.87,"$744,289.29",Occaisional
32057,01/30/2018,DEBIT PURCHASE,Kinderkookkafe,Food & Dining,-$541.87,"$743,747.42",Occaisional
32040,01/30/2018,DEBIT PURCHASE,Neuticles,Pets,"-$3,564.21","$740,183.21",Occaisional
32072,02/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$103,015.35","$637,167.86",Recurring
32071,02/01/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$30,256.38","$606,911.48",Recurring
32073,02/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$11,157.87","$595,753.61",Recurring
32076,02/03/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,552.26","$593,201.35",Recurring
32103,02/04/2018,DEBIT PURCHASE,"Cirque du Soleil , Private Show",Entertainment,"-$18,365.32","$574,836.03",Occaisional
32078,02/04/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$25,362.87","$549,473.16",Recurring
32092,02/05/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$549,070.66",Occaisional
32080,02/05/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,241.12","$546,829.54",Recurring
32079,02/05/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$21,684.25","$525,145.29",Recurring
101536,02/05/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$16,814.96","$541,960.25",Recurring
32086,02/06/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$541,557.25",Occaisional
32081,02/06/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$5,231.65","$536,325.60",Recurring
32083,02/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$534,973.58",Recurring
32082,02/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$524,647.95",Recurring
101574,02/07/2018,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$594,647.95",Recurring
32088,02/08/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-$554.12,"$594,093.83",Occaisional
32084,02/09/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$583,593.31",Recurring
32098,02/12/2018,DEBIT PURCHASE,The Varsity Downtown,Food & Dining,-$77.69,"$583,515.62",Occaisional
32085,02/12/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$6,536.25","$576,979.37",Recurring
32077,02/12/2018,DEBIT PURCHASE,Clifton’s Cafeteria,Food & Dining,-$689.58,"$576,289.79",Occaisional
32074,02/12/2018,DEBIT PURCHASE,Robby The Robot ,Shopping,"-$20,321.58","$555,968.21",Occaisional
32087,02/13/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$555,964.96",Occaisional
32089,02/14/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$549,464.96",Recurring
32090,02/15/2018,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$519,438.61",Recurring
32075,02/15/2018,DEBIT PURCHASE,Pet Peek Fence Windows,Pets,"-$6,502.11","$512,936.50",Occaisional
32091,02/16/2018,DEBIT PURCHASE,Beach Rental,Entertainment,"-$15,666.61","$497,269.89",Occaisional
101602,02/16/2018,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$547,269.89",Recurring
32105,02/19/2018,DEBIT PURCHASE,Annual Cyber Diagnostic Checkup,Health & Fitness,"-$5,703.65","$541,566.24",Occaisional
32095,02/21/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$540,667.92",Recurring
32094,02/21/2018,DEBIT PURCHASE,Spacesuit Dry Cleaning,Clothing & Personal ,"-$1,605.23","$539,062.69",Occaisional
32096,02/22/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$526,696.74",Recurring
32097,02/23/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$521,335.42",Recurring
32100,02/24/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$512,675.94",Recurring
32099,02/24/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$510,168.95",Recurring
32102,02/25/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$507,863.74",Recurring
32101,02/25/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$14,030.25","$493,833.49",Recurring
32104,02/26/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$491,267.12",Recurring
32107,03/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$103,015.35","$388,251.77",Recurring
32106,03/01/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$30,256.38","$357,995.39",Recurring
32127,03/02/2018,DEBIT PURCHASE,Forbes Island,Food & Dining,"-$3,206.68","$354,788.71",Occaisional
32108,03/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$11,157.87","$343,630.84",Recurring
32111,03/03/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,552.26","$341,078.58",Recurring
32113,03/04/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$25,362.87","$315,715.71",Recurring
32115,03/05/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,241.12","$313,474.59",Recurring
32114,03/05/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$56,825.35","$256,649.24",Recurring
101537,03/05/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$17,924.93","$274,574.17",Recurring
32116,03/06/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$5,231.65","$269,342.52",Recurring
32118,03/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$267,990.50",Recurring
32117,03/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$257,664.87",Recurring
101575,03/07/2018,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$327,664.87",Recurring
32119,03/09/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$317,164.35",Recurring
32137,03/10/2018,DEBIT PURCHASE,"Black Panther , Private Show",Entertainment,"-$3,526.25","$313,638.10",Occaisional
32132,03/11/2018,DEBIT PURCHASE,Perlan,Food & Dining,-$85.63,"$313,552.47",Occaisional
32121,03/11/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$313,149.47",Occaisional
32120,03/12/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$6,536.25","$306,613.22",Recurring
32122,03/13/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$306,609.97",Occaisional
32110,03/13/2018,DEBIT PURCHASE,Burger Pillows,Pets,-$85.11,"$306,524.86",Occaisional
32124,03/14/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$300,024.86",Recurring
32109,03/14/2018,DEBIT PURCHASE,Bat Golf Cart,Shopping,"-$23,056.78","$276,968.08",Occaisional
32125,03/15/2018,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$246,941.73",Recurring
101603,03/16/2018,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$296,941.73",Recurring
32112,03/17/2018,DEBIT PURCHASE,Amangani,Food & Dining,-$985.75,"$295,955.98",Occaisional
32129,03/21/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$295,057.66",Recurring
32128,03/21/2018,DEBIT PURCHASE,Personalized Bathtub,Clothing & Personal ,"-$8,232.98","$286,824.68",Occaisional
32130,03/22/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$274,458.73",Recurring
32131,03/23/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$269,097.41",Recurring
32139,03/24/2018,DEBIT PURCHASE,Thighmaster Marathon,Health & Fitness,"-$3,205.25","$265,892.16",Occaisional
32134,03/24/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$257,232.68",Recurring
32133,03/24/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$254,725.69",Recurring
32123,03/24/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-$354.87,"$254,370.82",Occaisional
32136,03/25/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$252,065.61",Recurring
32135,03/25/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$14,030.25","$238,035.36",Recurring
32138,03/26/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,566.37","$235,468.99",Recurring
32140,03/31/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$235,066.49",Occaisional
32142,04/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$103,015.35","$132,051.14",Recurring
32141,04/01/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$30,256.38","$101,794.76",Recurring
32143,04/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$11,157.87","$90,636.89",Recurring
32144,04/03/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,552.26","$88,084.63",Recurring
32148,04/04/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$25,362.87","$62,721.76",Recurring
32150,04/05/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,241.12","$60,480.64",Recurring
32149,04/05/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$6,725.35","$53,755.29",Recurring
101538,04/05/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$30,235.66","$83,990.95",Recurring
32151,04/06/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$5,231.65","$78,759.30",Recurring
32153,04/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$77,407.28",Recurring
32152,04/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$67,081.65",Recurring
32146,04/07/2018,DEBIT PURCHASE,Dog House Sofa,Pets,"-$12,953.32","$54,128.33",Occaisional
101576,04/07/2018,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$124,128.33",Recurring
32154,04/09/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$113,627.81",Recurring
32172,04/10/2018,DEBIT PURCHASE,"Maroon 5, Private Show",Entertainment,"-$25,006.35","$88,621.46",Occaisional
32162,04/11/2018,DEBIT PURCHASE,Devil Island Prison Restaurant ,Food & Dining,"-$1,896.78","$86,724.68",Occaisional
32158,04/11/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-$19.97,"$86,704.71",Occaisional
32155,04/12/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$6,536.25","$80,168.46",Recurring
32157,04/13/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$80,165.21",Occaisional
32159,04/14/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$73,665.21",Recurring
32167,04/15/2018,DEBIT PURCHASE,The Bubble Room,Food & Dining,-$897.11,"$72,768.10",Occaisional
32160,04/15/2018,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$42,741.75",Recurring
101556,04/15/2018,DIRECT DEPOSIT,Trust Fund Stock,Dividends,"$835,412.01","$878,153.76",Recurring
32161,04/16/2018,DEBIT PURCHASE,Hoverboard Rental,Entertainment,-$834.13,"$877,319.63",Occaisional
101604,04/16/2018,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$927,319.63",Recurring
32175,04/19/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$926,917.13",Occaisional
32164,04/21/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$926,018.81",Recurring
32163,04/21/2018,DEBIT PURCHASE,Closet Humidifier,Clothing & Personal ,"-$2,587.62","$923,431.19",Occaisional
32147,04/21/2018,DEBIT PURCHASE,Mars 2112,Food & Dining,-$325.86,"$923,105.33",Occaisional
32165,04/22/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$910,739.38",Recurring
32174,04/23/2018,DEBIT PURCHASE,Sauna Suit,Health & Fitness,"-$19,987.99","$890,751.39",Occaisional
32166,04/23/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$885,390.07",Recurring
32169,04/24/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$876,730.59",Recurring
32168,04/24/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$874,223.60",Recurring
32171,04/25/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$871,918.39",Recurring
32170,04/25/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$14,030.25","$857,888.14",Recurring
32173,04/26/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,966.35","$854,921.79",Recurring
32156,04/27/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$854,518.79",Occaisional
32145,04/27/2018,DEBIT PURCHASE,Ecosse Titanium Series FE Ti XX Motorcycle ,Auto & Transport,"-$280,001.62","$574,517.17",Occaisional
32177,05/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$103,015.35","$471,501.82",Recurring
32176,05/01/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$30,256.38","$441,245.44",Recurring
32178,05/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$11,157.87","$430,087.57",Recurring
32197,05/03/2018,DEBIT PURCHASE,The Disaster Cafe,Food & Dining,-$356.98,"$429,730.59",Occaisional
32182,05/03/2018,DEBIT PURCHASE,Gold-Threaded Pet Mattress,Pets,"-$1,293.23","$428,437.36",Occaisional
32179,05/03/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,552.26","$425,885.10",Recurring
32180,05/04/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$25,362.87","$400,522.23",Recurring
32185,05/05/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,241.12","$398,281.11",Recurring
32184,05/05/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$16,719.19","$381,561.92",Recurring
101539,05/05/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$32,325.75","$413,887.67",Recurring
32186,05/06/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$5,231.65","$408,656.02",Recurring
32188,05/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$407,304.00",Recurring
32187,05/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$396,978.37",Recurring
101577,05/07/2018,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$466,978.37",Recurring
32210,05/08/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$466,575.87",Occaisional
32189,05/09/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$456,075.35",Recurring
32190,05/12/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$6,536.25","$449,539.10",Recurring
32192,05/13/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$449,535.85",Occaisional
32194,05/14/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$443,035.85",Recurring
32202,05/15/2018,DEBIT PURCHASE,The Heart Attack Grill,Food & Dining,-$65.78,"$442,970.07",Occaisional
32195,05/15/2018,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$412,943.72",Recurring
32196,05/16/2018,DEBIT PURCHASE,Self Driving Bike Rental,Entertainment,"-$1,023.88","$411,919.84",Occaisional
32191,05/16/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$411,516.84",Occaisional
101605,05/16/2018,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$461,516.84",Recurring
32199,05/21/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$460,618.52",Recurring
32198,05/21/2018,DEBIT PURCHASE,Tibetan Pajamas,Clothing & Personal ,-$652.87,"$459,965.65",Occaisional
32193,05/21/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-$45.54,"$459,920.11",Occaisional
32181,05/21/2018,DEBIT PURCHASE,Harry Winston Opus 12 Watch,Shopping,"-$26,023.32","$433,896.79",Occaisional
32200,05/22/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$421,530.84",Recurring
32201,05/23/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$416,169.52",Recurring
32204,05/24/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$407,510.04",Recurring
32203,05/24/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$405,003.05",Recurring
32206,05/25/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$402,697.84",Recurring
32205,05/25/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$14,030.25","$388,667.59",Recurring
32208,05/26/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,966.35","$385,701.24",Recurring
32212,06/01/2018,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$103,015.35","$282,685.89",Recurring
32211,06/01/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$30,256.38","$252,429.51",Recurring
32245,06/02/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$252,027.01",Occaisional
32213,06/02/2018,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$11,157.87","$240,869.14",Recurring
32214,06/03/2018,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,552.26","$238,316.88",Recurring
32215,06/04/2018,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$25,362.87","$212,954.01",Recurring
32219,06/05/2018,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,241.12","$210,712.89",Recurring
32218,06/05/2018,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$18,290.82","$192,422.07",Recurring
101540,06/05/2018,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$34,415.84","$226,837.91",Recurring
32232,06/06/2018,DEBIT PURCHASE,Norma’s,Food & Dining,-$423.78,"$226,414.13",Occaisional
32221,06/06/2018,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$5,231.65","$221,182.48",Recurring
32223,06/07/2018,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$219,830.46",Recurring
32222,06/07/2018,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$209,504.83",Recurring
101578,06/07/2018,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$279,504.83",Recurring
32224,06/09/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$269,004.31",Recurring
32217,06/10/2018,DEBIT PURCHASE,"Guy Savoy, Paris (Groupon) ",Food & Dining,"-$13,987.25","$255,017.06",Occaisional
32226,06/11/2018,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$254,614.06",Occaisional
32225,06/12/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$6,536.25","$248,077.81",Recurring
32220,06/12/2018,DEBIT PURCHASE,Dog Sparkling Water - 30 Cases,Pets,-$400.00,"$247,677.81",Occaisional
32227,06/13/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$247,674.56",Occaisional
32229,06/14/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$241,174.56",Recurring
32230,06/15/2018,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$30,026.35","$211,148.21",Recurring
32242,06/16/2018,DEBIT PURCHASE,Mean Girls.,Entertainment,-$982.25,"$210,165.96",Occaisional
32231,06/16/2018,DEBIT PURCHASE,Underwater World Cruise,Entertainment,"-$50,788.56","$159,377.40",Occaisional
